DATA RIO,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tabela 2631 - Número de empregados por atividade econômica segundo as Áreas de Planejamento (AP), Regiões Administrativas (RA) e Bairros - Município do Rio de Janeiro - 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bairros,Extrativa mineral,Minerais não-metálicos,Indústria metalúrgica,Indústria mecânica,Indústria do material elétrico e de comunicações,Indústria de material de transporte,Indústria da madeira e do mobiliário,"Indústria do papel, papelão, editorial e gráfica","Indústria da borracha, fumo, couros, peles, similares e diversas","Indústria química de produtos farmacêuticos, veterinários, perfumaria...",Indústria têxtil do vestuário e artefatos de tecidos,Indústria de calçados,"Indústria de produtos alimentícios, bebidas e álcool etílico",Serviços industriais de utilidade pública ,Construção civil,Comércio varejista,Comércio atacadista,"Instituições de crédito, seguros e capitalização","Comércio e administração de imóveis, valores mobiliários, serviços técnicos",Transportes e comunicações,"Serviços de alojamento, alimentação, reparação, manutenção, redação...","Serviços médicos, odontológicos e veterinários",Ensino,Administração pública direta e autárquica,"Agricultura, silvicultura, criação de animais, extrativismo vegetal",Outros/ignorado,Total
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total ,  9 175,  3 774,  11 884,  8 179,  2 285,  2 610,  1 921,  11 545,  11 176,  28 899,  15 721,   142,  30 204,  37 922,  80 934,  288 448,  66 041,  59 475,  387 592,  134 137,  250 923,  113 186,  132 922,  381 972,  3 148,   0, 2 074 215
Riachuelo,-,   4,   3,   13,-,-,   19,   46,-,   80,   298,-,   36,-,   55,   300,   174,-,   395,   73,   174,   3,   379,-,-,-,  2 052
Sampaio,-,-,-,-,   2,-,   3,   4,-,   9,   43,-,   5,-,   12,   244,   43,   13,   100,   39,   345,-,   172,-,-,-,  1 034
Engenho Novo,-,   5,   31,   27,   5,   7,   8,   149,-,   148,   42,-,   111,-,   194,  1 178,   176,   34,  1 462,   542,   485,   440,   314,-,   25,-,  5 383
Lins de Vasconcelos,-,-,-,   29,-,-,-,-,-,   2,-,-,   3,-,   17,   452,   5,   6,   350,   37,   189,   6,   236,  2 735,-,-,  4 067
Méier,-,   3,   7,   38,   1,   2,-,   14,   18,   283,   52,-,   292,-,   173,  4 200,   273,   391,  3 199,   149,  2 973,  2 686,  2 135,-,   1,-,  16 890
Todos os Santos,-,-,   7,   3,-,   11,-,   40,   27,   48,   19,-,   24,   4,   88,   315,   119,   9,   627,   87,   266,   8,   195,-,   3,-,  1 900
Cachambi,-,-,   4,   1,-,-,   8,   4,   1,   17,   7,-,   257,-,   557,   770,   64,   10,   628,   227,   569,   71,   546,-,   7,-,  3 748
Engenho de Dentro,-,   3,   27,   3,   30,-,   1,   42,   3,   60,   84,-,   172,-,   330,  1 069,   116,   10,  1 113,  1 103,   595,   444,   155,-,-,-,  5 360
Água Santa,-,-,-,-,-,-,-,-,-,-,-,-,   16,   15,-,   64,   12,-,   334,   377,   10,-,   12,-,-,-,   840
Encantado,-,-,   9,   14,   22,-,   2,   1,-,-,   7,-,   2,   1,   95,   239,   45,   2,   276,   21,   177,   14,   204,-,   7,-,  1 138
Piedade,-,-,   19,   337,   7,-,   13,   5,   6,   183,   8,-,   232,   8,   283,  1 025,   119,-,   176,   288,  1 088,   90,   99,-,-,-,  3 986
Abolição,-,-,   3,   15,-,   24,   83,   5,   1,   32,   15,-,   21,-,   84,   928,   58,   54,   306,   115,   94,   14,   236,-,   1,-,  2 089
Pilares,-,   258,   7,   93,   8,   2,   23,   46,   1,   110,   4,-,   53,   121,   722,  4 926,   239,   712,   721,   426,  1 880,   310,   552,-,-,-,  11 214
XXVIII Jacarezinho,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0
Jacarezinho,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,   0
Região de Planejamento 3.3,   1,   523,   652,   348,   94,   123,   149,   194,   98,  1 307,   452,   11,  3 038,  1 052,  8 699,  22 619,  1 898,   805,  11 969,  6 109,  8 396,  4 939,  12 101,   269,   111,   0,  85 957
XIV Irajá,   0,   349,   188,   40,   10,   119,   37,   30,   20,   113,   95,   0,   215,   311,  7 602,  8 809,   621,   284,  2 658,   661,  3 185,  1 360,  2 608,   0,   9,   0,  29 324
Vila Cosmos,-,-,-,   7,-,   4,   5,-,   1,   1,-,-,   22,-,   43,   207,   11,   87,   78,   1,   89,   73,   255,-,   8,-,   892
Vicente de Carvalho,-,   3,   55,   4,-,   103,   15,   8,   4,   18,-,-,   6,-,   38,  1 512,   32,   15,   258,   54,   395,   36,   218,-,   1,-,  2 775
Vila da Penha,-,-,   12,   5,   1,-,   1,-,   2,   10,   52,-,   29,-,   65,  2 306,   320,   51,  1 023,   97,  1 313,  1 089,  1 110,-,-,-,  7 486
Vista Alegre,-,-,-,   6,-,   1,-,-,-,-,   8,-,   20,-,   13,   757,   27,   42,   356,   111,   417,   61,   244,-,-,-,  2 063
Irajá,-,   17,   30,   18,-,   11,   11,   15,   4,   33,   30,-,   89,-,  7 409,  3 740,   149,   61,   875,   378,   948,   101,   728,-,-,-,  14 647
Colégio,-,   329,   91,-,   9,-,   5,   7,   9,   51,   5,-,   49,   311,   34,   287,   82,   28,   68,   20,   23,-,   53,-,-,-,  1 461
XV Madureira,   1,   174,   464,   308,   84,   4,   112,   164,   78,  1 194,   357,   11,  2 823,   741,  1 097,  13 810,  1 277,   521,  9 311,  5 448,  5 211,  3 579,  9 493,   269,   102,   0,  56 633
Campinho,-,-,   11,   6,-,-,-,-,-,-,   2,-,   26,-,   47,   374,   36,   1,   352,  2 007,   135,   223,   80,-,-,-,  3 300
Quintino Bocaiúva,-,   3,   15,   18,   7,-,   4,   3,   22,   319,   38,   11,   18,   29,   179,   352,   81,   6,   454,   53,   261,   5,  5 528,-,-,-,  7 406
Cavalcanti,   1,   1,   36,   86,-,-,-,   1,-,   37,   64,-,   14,   4,   33,   115,   23,-,   72,   29,   76,-,   40,-,-,-,   632
Engenheiro Leal,-,-,   10,-,-,-,   58,   6,-,   30,-,-,   8,-,   5,   41,   235,-,   1,   27,   23,-,-,-,-,-,   444
Cascadura,-,-,-,   11,   6,   3,   12,   21,   10,-,   21,-,   13,   704,   63,  2 255,   64,   133,   604,  1 205,   557,  1 480,  1 108,   1,-,-,  8 271
Madureira,-,   10,   33,   21,   2,-,   24,   48,   24,   30,   68,-,   19,-,   181,  6 855,   194,   281,  6 749,   348,  2 722,  1 220,  1 274,-,   95,-,  20 198
Vaz Lobo,-,   6,   16,   16,-,   1,   14,   1,   6,-,   30,-,   6,-,   7,   708,   29,   32,   93,   33,   240,   315,   91,-,-,-,  1 644
